OBJECTID,STD_ZIP5,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,LATITUDE,LONGITUDE,LAT,LON,x,y
4038,15201,PITTSBURGH,PA,40.473277374,-79.95460594,40.47328,-79.95461,-8900505.92664323,4934957.99904798
4039,15202,PITTSBURGH,PA,40.500641319,-80.06466675,40.50064,-80.06467,-8912757.9329205,4938962.99613325
4040,15203,PITTSBURGH,PA,40.426330226,-79.97595805,40.42633,-79.97596,-8902883.11819028,4928090.26701561
4041,15204,PITTSBURGH,PA,40.455201902,-80.06174657,40.4552,-80.06174,-8912432.65091187,4932312.90487084
4042,15205,PITTSBURGH,PA,40.436962184,-80.08223945,40.43696,-80.08224,-8914713.8715882,4929645.08944989
4043,15206,PITTSBURGH,PA,40.467055458,-79.92105755,40.46706,-79.92106,-8896771.55313395,4934047.56863332
4044,15207,PITTSBURGH,PA,40.402207476,-79.93359825,40.40221,-79.9336,-8898167.80278279,4924563.12079918
4045,15208,PITTSBURGH,PA,40.454031626,-79.89963835,40.45403,-79.89964,-8894386.71783405,4932142.13411669
4046,15209,PITTSBURGH,PA,40.496838619,-79.97397694,40.49684,-79.97398,-8902662.30006161,4938406.23007645
4047,15210,PITTSBURGH,PA,40.406944164,-79.98825608,40.40694,-79.98826,-8904252.19029864,4925255.73381434
4048,15211,PITTSBURGH,PA,40.42926286,-80.01233526,40.42926,-80.01234,-8906932.58207485,4928519.2552699
4049,15212,PITTSBURGH,PA,40.46735644,-80.01153219,40.46736,-80.01154,-8906843.40558926,4934091.66477292
4050,15213,PITTSBURGH,PA,40.444606183,-79.95411082,40.44461,-79.95411,-8900450.72208323,4930763.2406228
4051,15214,PITTSBURGH,PA,40.482377956,-80.01372354,40.48238,-80.01373,-8907087.15475379,4936289.46686021
4052,15215,PITTSBURGH,PA,40.499226844,-79.91660156,40.49923,-79.9166,-8896275.56168431,4938755.81063805
4053,15216,PITTSBURGH,PA,40.39896756,-80.0361826,40.39897,-80.03619,-8909587.49482338,4924089.69598736
4054,15217,PITTSBURGH,PA,40.431319677,-79.92451298,40.43132,-79.92451,-8897156.28620719,4928819.94849547
4055,15218,PITTSBURGH,PA,40.424763218,-79.88732638,40.42476,-79.88733,-8893016.7964693,4927860.99762736
4056,15219,PITTSBURGH,PA,40.444862138,-79.98010817,40.44486,-79.98011,-8903345.13749168,4930800.62616026
4057,15220,PITTSBURGH,PA,40.41460728,-80.0513188,40.41461,-80.05132,-8911271.65741834,4926376.17486732
4058,15221,PITTSBURGH,PA,40.437040036,-79.86940509,40.43704,-79.86941,-8891021.79000366,4929656.24802357
4059,15222,PITTSBURGH,PA,40.446174251,-79.99491683,40.44617,-79.99492,-8904993.62942561,4930992.57783202
4060,15223,PITTSBURGH,PA,40.504855729,-79.95255881,40.50486,-79.95256,-8900278.31412943,4939580.11084487
4061,15224,PITTSBURGH,PA,40.463104865,-79.94624693,40.4631,-79.94624,-8899575.09343268,4933469.31341001
4062,15225,PITTSBURGH,PA,40.514011177,-80.1375397,40.51401,-80.13754,-8920870.4495712,4940920.58386839
4063,15226,PITTSBURGH,PA,40.394077601,-80.01592782,40.39408,-80.01593,-8907332.60254245,4923374.8620912
4064,15227,PITTSBURGH,PA,40.375628711,-79.97300443,40.37563,-79.97301,-8902554.43893344,4920678.81081618
4065,15228,PITTSBURGH,PA,40.373147832,-80.04411886,40.37315,-80.04412,-8910470.76722676,4920315.9372038
4066,15229,PITTSBURGH,PA,40.519852384,-80.03546166,40.51985,-80.03546,-8909506.81134701,4941775.78968412
4067,15232,PITTSBURGH,PA,40.453711709,-79.93239397,40.45371,-79.9324,-8898033.61337053,4932095.25631197
4068,15233,PITTSBURGH,PA,40.454064299,-80.02231849,40.45406,-80.02232,-8908043.46688072,4932146.59873692
4069,15234,PITTSBURGH,PA,40.367445467,-80.02064212,40.36745,-80.02065,-8907857.47015668,4919483.21788882
4070,15235,PITTSBURGH,PA,40.460929956,-79.8251181,40.46093,-79.82512,-8886091.60170753,4933151.17594836
4071,15236,PITTSBURGH,PA,40.34450083,-79.98026271,40.3445,-79.98026,-8903362.12351014,4916131.31533704
4072,15237,PITTSBURGH,PA,40.550848052,-80.03641194,40.55085,-80.03642,-8909612.97385106,4946316.1634197
4073,15238,PITTSBURGH,PA,40.520095291,-79.87589188,40.5201,-79.87589,-8891743.69523166,4941811.54116109
4074,15239,PITTSBURGH,PA,40.478527333,-79.73659803,40.47853,-79.7366,-8876237.17013268,4935726.15294072
4075,15241,PITTSBURGH,PA,40.332995557,-80.07938986,40.333,-80.07939,-8914397.08247749,4914451.05655477
4076,15243,PITTSBURGH,PA,40.374805174,-80.07240508,40.37481,-80.0724,-8913619.12343309,4920558.40881922
4077,15275,PITTSBURGH,PA,40.462697,-80.199175,40.4627,-80.19917,-8927731.09750734,4933409.59201428
